Empresa,Ticker,Setor,"Valor de Mercado",P/L,P/VP,LPA,ROE,ROIC,"Margem Líquida","Margem Bruta","Margem EBITDA","CAGR de Lucro","CAGR de Receita","Dívida Líq. / EBITDA","Liquidez Corrente"
"American Express Company",AXP,"Financial Services",206107785154,19.53,6.15,15.37,0.3399,,0.1617,,0.0000,,,,1.41
"Verizon Communications Inc.",VZ,"Communication Services",208353597899,12.17,1.99,4.06,0.1707,,0.1243,0.5471,0.3426,,,3.50,0.91
"PepsiCo, Inc.",PEP,"Consumer Defensive",214623393396,26.17,10.52,6.00,0.4285,,0.0877,0.5323,0.1867,,,2.48,0.85
"McDonald&#8217;s Corporation",MCD,"Consumer Cyclical",219176472994,25.70,-101.10,11.95,,,0.3185,,0.5428,,,3.70,0.96
"Intel Corporation",INTC,Technology,252958495286,809.33,2.20,-0.06,0.0002,,-0.0051,0.3615,0.2348,,,0.78,2.02
"International Business Machines Corp",IBM,Technology,232875595307,22.28,7.12,11.14,0.3516,,0.1569,0.6059,0.2712,,,2.74,0.96
"Linde plc",LIN,"Basic Materials",232901907439,34.35,6.09,14.63,0.1782,,0.2030,0.4812,0.3862,,,1.75,0.88
"T-Mobile US, Inc.",TMUS,"Communication Services",225267223291,20.70,3.77,9.73,0.1818,,0.1245,0.5779,0.3606,,,3.71,1.00
"GE Vernova Inc.",GEV,Industrials,243800428455,50.77,21.67,17.70,0.4264,,0.1283,0.2119,0.0545,,,-3.73,0.98
"Wells Fargo &#038; Company",WFC,"Financial Services",248702232745,12.88,1.52,6.26,0.1173,,0.2666,,0.0000,,,,
"UnitedHealth Group Incorporated",UNH,Healthcare,251662212197,20.96,2.67,13.23,0.1254,,0.0269,0.1634,0.0521,,,2.35,0.79
"The Goldman Sachs Group, Inc.",GS,"Financial Services",256109635274,16.81,2.42,51.35,0.1386,,0.2892,,0.0000,,,,1.53
"Philip Morris International Inc.",PM,"Consumer Defensive",246403650956,21.78,-30.65,7.26,-1.4096,,0.2792,0.6564,0.4306,,,2.56,0.96
"RTX Corporation",RTX,Industrials,264093615165,39.56,4.04,4.96,0.1095,,0.0760,0.1946,0.1687,,,2.18,1.03
"Morgan Stanley",MS,"Financial Services",263283100756,16.24,2.58,10.21,0.1561,,0.2399,,0.0000,,,,2.05
"Lam Research Corporation",LRCX,Technology,274367193200,44.85,26.94,4.87,0.6557,,0.3022,0.4960,0.3701,,,-0.22,2.26
"Applied Materials, Inc.",AMAT,Technology,276549230353,35.70,12.73,9.76,0.3886,,0.2778,0.4899,0.3713,,,-0.13,2.72
"General Electric Company",GE,Industrials,296571479216,34.97,15.79,8.04,0.4469,,0.1898,0.3424,0.2649,,,0.79,1.04
"Merck &#038; Co., Inc.",MRK,Healthcare,298838021402,16.60,5.69,7.28,0.3688,,0.2808,0.6615,0.4477,,,1.24,1.54
"Cisco Systems, Inc.",CSCO,Technology,312215480514,28.42,6.54,2.78,0.2375,,0.1876,0.6497,0.2873,,,0.94,0.96
"The Coca-Cola Company",KO,"Consumer Defensive",330214608723,25.24,10.26,3.04,0.4332,,0.2734,0.6005,0.3905,,,1.72,1.46
